Timestamp,SID,Channel,Band,Value
1763794259.6484,b3b20996-b541-4e81-ac29-d0d5c248b323,TP9,TP9,108.258
1763794259.6484,b3b20996-b541-4e81-ac29-d0d5c248b323,TP9,AF7,24.987
1763794259.6484,b3b20996-b541-4e81-ac29-d0d5c248b323,TP9,AF8,36.854
1763794259.6484,b3b20996-b541-4e81-ac29-d0d5c248b323,TP9,TP10,97.609
1763794259.6484,b3b20996-b541-4e81-ac29-d0d5c248b323,TP9,RightAUX,80.731
1763794259.6484,b3b20996-b541-4e81-ac29-d0d5c248b323,AF7,TP9,12.857
1763794259.6484,b3b20996-b541-4e81-ac29-d0d5c248b323,AF7,AF7,19.261
1763794259.6484,b3b20996-b541-4e81-ac29-d0d5c248b323,AF7,AF8,24.838
1763794259.6484,b3b20996-b541-4e81-ac29-d0d5c248b323,AF7,TP10,49.973
1763794259.6484,b3b20996-b541-4e81-ac29-d0d5c248b323,AF7,RightAUX,75.752
1763794259.6484,b3b20996-b541-4e81-ac29-d0d5c248b323,AF8,TP9,25.096
1763794259.6484,b3b20996-b541-4e81-ac29-d0d5c248b323,AF8,AF7,3.793
1763794259.6484,b3b20996-b541-4e81-ac29-d0d5c248b323,AF8,AF8,2.999
1763794259.6484,b3b20996-b541-4e81-ac29-d0d5c248b323,AF8,TP10,1.873
1763794259.6484,b3b20996-b541-4e81-ac29-d0d5c248b323,AF8,RightAUX,0.774
1763794259.6484,b3b20996-b541-4e81-ac29-d0d5c248b323,TP10,TP9,0.001
1763794259.6484,b3b20996-b541-4e81-ac29-d0d5c248b323,TP10,AF7,0.001
1763794259.6484,b3b20996-b541-4e81-ac29-d0d5c248b323,TP10,AF8,0.0
1763794259.6484,b3b20996-b541-4e81-ac29-d0d5c248b323,TP10,TP10,0.0
1763794259.6484,b3b20996-b541-4e81-ac29-d0d5c248b323,TP10,RightAUX,0.0
1763794259.6484,b3b20996-b541-4e81-ac29-d0d5c248b323,RightAUX,TP9,78.779
1763794259.6484,b3b20996-b541-4e81-ac29-d0d5c248b323,RightAUX,AF7,36.926
1763794259.6484,b3b20996-b541-4e81-ac29-d0d5c248b323,RightAUX,AF8,27.733
1763794259.6484,b3b20996-b541-4e81-ac29-d0d5c248b323,RightAUX,TP10,130.039
1763794259.6484,b3b20996-b541-4e81-ac29-d0d5c248b323,RightAUX,RightAUX,111.538
1763794259.7744,b3b20996-b541-4e81-ac29-d0d5c248b323,TP9,TP9,106.655
1763794259.7744,b3b20996-b541-4e81-ac29-d0d5c248b323,TP9,AF7,21.043
1763794259.7744,b3b20996-b541-4e81-ac29-d0d5c248b323,TP9,AF8,38.095
1763794259.7744,b3b20996-b541-4e81-ac29-d0d5c248b323,TP9,TP10,97.235
1763794259.7744,b3b20996-b541-4e81-ac29-d0d5c248b323,TP9,RightAUX,74.253
1763794259.7744,b3b20996-b541-4e81-ac29-d0d5c248b323,AF7,TP9,12.169
1763794259.7744,b3b20996-b541-4e81-ac29-d0d5c248b323,AF7,AF7,21.967
